pest_key,name,latin_name,also_called,kind,affects_categories,severity,description,signs,consequence,look_alikes,monitoring,prevention,organic_controls,chemical_controls,beneficials,pollinator_risk,treatments
leaf_mold,Tomato leaf mould,Passalora fulva,,disease,Tomato,serious,"A fungal disease of high humidity, and overwhelmingly a greenhouse and tunnel problem rather than an outdoor one. It needs sustained humidity above about 85 per cent, which is what a closed tunnel provides every night.","Pale green to yellow blotches on the upper leaf surface with no sharp edge, and olive-green to brown velvety mould on the underside directly beneath them. Lower leaves first.","Progressive defoliation under cover, cutting the crop badly in a tunnel or greenhouse. Outdoors it is usually minor.","Early blight and Septoria make defined spots. Leaf mould blotches are diffuse on top with velvet underneath, which is the giveaway.","Under cover, look at the undersides of the lower leaves weekly from the first fruit set.","Ventilation, ventilation, ventilation -- vent overnight rather than closing up. Wide spacing, hard pruning of lower leaves, and no overhead watering. Resistant varieties are widely available and are the practical answer for a tunnel.",Increase airflow and remove affected leaves. Copper and Bacillus subtilis preventively.,Copper and chlorothalonil as protectants. Managing the humidity does more than any spray.,None of practical use.,0,"Ventilate hard overnight, prune and space, resistant varieties; copper preventively under cover."
cercospora_leaf_spot,Cercospora leaf spot,Cercospora beticola; Cercospora spp.,,disease,Beet;Chard;Okra;Southern pea;Pepper;Carrot,manageable,"A warm, humid-weather fungal leaf spot, most familiar on beetroot and chard, where it can strip a crop of usable leaves in a wet August.",Small round spots with pale tan or grey centres and distinct reddish-purple borders. Centres often drop out leaving shot holes. Spots coalesce and leaves collapse.,"On chard and beet greens, where the leaf is the crop, it ends the picking. On roots it reduces size rather than ruining them.",Bacterial leaf spot of beet is angular and water-soaked without the purple ring. The purple border is the useful sign.,Check chard and beet weekly through warm humid weather.,"Wide spacing and airflow. Base watering in the morning. Two-year rotation and removal of debris, where it overwinters. Pick outer leaves regularly, which both harvests and thins.","Strip and bag affected leaves, which on chard is also just harvesting. Copper preventively in a wet spell.",Copper and chlorothalonil as protectants.,None of practical use.,0,"Space, water at the base, pick the outer leaves often, rotate; copper in a wet spell."
aster_yellows,Aster yellows,Candidatus Phytoplasma asteris,,disease,Carrot;Lettuce;Onion;Garlic;Tomato;Celery;Parsley,fatal,"A phytoplasma -- a bacterium without a cell wall -- carried by the aster leafhopper, which migrates north on spring winds. It affects an extremely wide range of plants and produces some of the strangest symptoms in the garden.","Bizarre distorted growth: carrots with a mass of hairy roots and a red-purple bunched top; lettuce with twisted yellow inner leaves; flowers that come out green and leafy instead of coloured. Bitter, hairy carrots are the classic sign.",The affected plant is unusable. The carrots taste bitter and the tops are inedible.,"Herbicide injury distorts too, but affects a whole area. The green, leafy flowers of aster yellows are close to unmistakable.",Nothing useful before symptoms. Note the incidence and remove.,"Control the perennial weeds that host it -- thistle, plantain, dandelion. Row cover over carrots and lettuce in early summer excludes the leafhoppers. Remove affected plants promptly so a leafhopper does not pick it up again.",Removal and weed control. Row cover during the leafhopper flight.,Nothing treats a phytoplasma. Insecticides against leafhoppers are largely ineffective on a migrating vector.,None of practical use.,0,"Row cover in early summer, clear perennial broadleaf weeds, remove affected plants; there is no cure."
corn_smut,Corn smut,Ustilago maydis,Huitlacoche,disease,Sweet corn,manageable,"A fungus that infects corn through wounds and growing tissue and turns kernels into large silvery-grey galls full of black spores. It is also a delicacy in Mexican cooking, sold as huitlacoche and picked young and firm.","Swollen silvery-white galls on ears, tassels or stalks, sometimes the size of a fist, that split and release a mass of powdery black spores.",The affected ear is lost as sweet corn. Spores persist in soil for years. Damage is usually to a few plants rather than a whole planting.,Nothing else looks like it.,Walk the corn weekly from tasselling. Removing a gall before it bursts is the whole of the control.,Avoid injuring plants when cultivating or detasselling -- most infection is through wounds. Balanced nitrogen rather than excess. Rotate. Some varieties are more tolerant.,"Cut out and bag galls while they are still firm and white, before they split. Do not compost them. Or pick them at that stage and cook them.","No effective home-garden fungicide, and none is warranted.",None of practical use.,0,"Cut galls out while still white and firm and bag them, or eat them; avoid wounding the plants; rotate."
onion_neck_rot,Onion neck rot and basal rot,Botrytis allii; Fusarium oxysporum f. sp. cepae,,disease,Onion;Garlic;Leek,serious,Two storage rots with different causes and the same practical answer. Neck rot enters through the neck as the crop dies down and shows up in storage; basal rot comes up through the base plate from infested soil.,"In storage, a soft sunken area at the neck with grey mould between the scales, or a bulb rotting from the base upward with white fluff on the base plate. In the field, premature yellowing and a bulb that lifts away from its roots.",A crop that looked fine at lifting turns to mush over the winter. This is where most home-stored onions and garlic are lost.,Onion maggot damage has maggots in it. Simple bruising rots at the point of damage rather than from the neck or the base.,Check stored bulbs monthly and remove any that softens; one rotting bulb spoils those around it.,"Almost all of this is curing and storage. Lift when the tops have fallen, cure in a warm airy place until the necks are papery and tight, and store cool, dry and with air movement. Do not damage bulbs at lifting. Do not over-feed with nitrogen late, which makes thick soft necks. Rotate away from alliums for four years for basal rot.","Careful lifting, thorough curing, cool dry airy storage, and inspection. Discard any bulb with a thick soft neck rather than storing it.","No useful home-garden treatment. This is a harvest and storage problem, and it is solved there.",None of practical use.,0,"Cure thoroughly until the necks are papery, store cool dry and airy, lift without bruising, rotate."
blossom_end_rot,Blossom end rot,,BER,disorder,Tomato;Pepper;Eggplant;Squash (summer);Watermelon;Melon,manageable,"Not a disease and not a pest: a calcium supply failure in the fruit. Almost always the soil has plenty of calcium and the plant could not move it fast enough, because water uptake was uneven while the fruit was sizing.","A sunken, leathery, dark brown or black patch on the BOTTOM of the fruit, opposite the stem. Dry and flat rather than mouldy, though moulds move in later. First fruits of the season are the usual victims.","The affected fruit is spoiled. The plant is fine and later fruit is usually normal once watering steadies, which is why this is a disorder and not a disease.","Anthracnose is on the side or the shoulder, is circular and sunken with rings, and often has pink spore masses. Sunscald is on the sun-facing side and is pale and papery.","Watch the first fruits of each planting. If the first truss has it and the second does not, the watering has already been fixed.","Even, deep watering is the whole of it. Mulch to buffer the soil. Do not let a container dry out and then flood it -- containers are where this happens most. Avoid heavy nitrogen, especially ammonium forms, which competes with calcium uptake. Do not damage roots by cultivating close to the plant. Get a soil test before adding calcium at all.",Steady watering and mulch. Remove affected fruit so the plant puts its resources into the next ones.,"Calcium sprays and soil calcium additions are widely sold for this and rarely help, because the soil almost always has enough calcium already and a leaf spray does not reach the fruit. Fix the watering instead. Add lime or gypsum only if a soil test actually shows a calcium shortage or a pH problem.",,0,"Even deep watering and mulch. Calcium sprays are usually money for nothing -- the problem is water, not calcium."
blossom_drop_heat,Heat blossom drop,,Flower drop,disorder,Tomato;Pepper;Bean;Southern pea;Eggplant,manageable,"Flowers abort without setting when it is too hot, too cold, too dry or too windy at the moment of pollination. For tomatoes the classic trigger is night temperatures above about 24C or day temperatures above about 35C; pollen is simply not viable then.",Flowers yellow at the stalk and drop off cleanly with no fruit behind them. The plant itself looks perfectly healthy and keeps producing more flowers.,"A gap in the harvest six to eight weeks later, which is the part people notice. In a long hot summer this is why tomatoes stop and then start again in September.",Poor pollination in cucurbits drops small fruit that started to swell; heat blossom drop loses the flower before anything sets. Curly top and mosaic virus also stop fruit set but distort the plant as well.,Note the nights above 24C -- Carl has the temperatures already. The blossom drop follows two or three days later.,Choose heat-set varieties where summers are long and hot; this is the only measure that really works. Shade cloth of 30 to 50 per cent over the hottest weeks. Keep the soil evenly moist so the plant is not also water-stressed. Plant early enough that the main set happens before the heat.,"Shade cloth, steady water, and patience. The plant will set again when the nights cool, which is what a late-summer flush is.","Blossom-set hormone sprays exist and give erratic results, often producing hollow or misshapen fruit. Not worth it.",,0,"Heat-set varieties, 30-50 per cent shade cloth over the worst weeks, steady water; it sets again when nights cool."
fruit_cracking,Fruit cracking,,Splitting,disorder,Tomato;Watermelon;Melon;Cabbage;Carrot;Squash (summer),cosmetic,A fruit that has slowed its growth in a dry spell takes up water faster than its skin can stretch when the rain finally comes. Cabbages and carrots split for the same reason.,"Concentric rings of cracks around the shoulders of a tomato, or radial cracks running down from the stem. Splits in cabbage heads and carrot roots after heavy rain.","Cosmetic if picked at once. Left on the plant the cracks let in the rots and the fruit flies, and then it is a loss.","Catfacing is deformity from the flower stage, present from the start; cracking appears on a fruit that was smooth yesterday.",Pick ripening fruit before forecast heavy rain. Carl has the forecast on the menu -- that is what it is for.,"Even watering and heavy mulch to buffer the swing. Pick at first blush and ripen indoors in an unsettled week. Crack-resistant varieties exist and differ enormously. Do not over-water a cabbage that is nearly ready, and cut it rather than leaving it.",Pick promptly. Use the cracked ones first and cut the cracks out.,"None, and none needed.",,0,Even watering and mulch; pick before heavy rain; choose crack-resistant varieties.
sunscald,Sunscald,,Sunburn,disorder,Tomato;Pepper;Eggplant;Squash (winter);Melon;Watermelon,manageable,"Fruit exposed to direct sun after the leaves that shaded it are lost -- to disease, to over-pruning, or to a hornworm -- is literally cooked on the sunny side.","A pale white or yellow patch on the sun-facing side of the fruit that turns papery, sunken and thin. Secondary black moulds grow on the dead tissue afterwards.",The affected fruit is spoiled. It is a symptom as much as a problem: the real question is why the canopy went.,Blossom end rot is on the bottom and is dark and leathery. Anthracnose is circular and ringed and can be anywhere.,"After any defoliation event -- a blight outbreak, a hornworm, a hard prune -- look at what is now exposed.","Keep the canopy: control the leaf diseases and do not over-prune. Shade cloth over a plant that has lost its leaves. Do not strip leaves to hurry ripening, which is a common and counterproductive habit.",Shade cloth or a light cover over exposed fruit. Kaolin clay reflects heat and helps on a badly exposed plant.,None. Treat the cause of the defoliation instead.,,0,"Keep the leaves on -- control the leaf disease, do not over-prune; shade cloth or kaolin on exposed fruit."
catfacing,Catfacing,,,disorder,Tomato;Pepper;Strawberry,cosmetic,"Deformity that happens at the flower stage, when cold weather, very hot weather, damage or heavy nitrogen disturb the developing flower. The fruit grows around the injury.","Puckered, scarred, lobed or kidney-shaped fruit with corky brown bands and sometimes holes right through the blossom end. Large beefsteak varieties are far more prone.","Ugly, entirely edible, and no threat to the plant. Cut the scar out and eat the rest.",Blossom end rot is a defined sunken patch on the bottom of an otherwise normal fruit; catfaced fruit is deformed all over.,Nothing to do -- it is decided weeks before the fruit is visible.,"Do not set transplants out into cold weather, which is the most common trigger. Avoid heavy nitrogen at flowering. Choose smaller-fruited varieties where late frosts are common. Avoid herbicide drift, which also causes it.",None needed. Cut out the scar.,None.,,0,Plant out into warm weather and go easy on nitrogen at flowering; the fruit is edible -- cut the scar off.
bolting,Bolting,,Running to seed,disorder,Lettuce;Spinach;Cilantro;Asian greens;Chinese cabbage;Radish;Basil;Broccoli;Onion;Cabbage,manageable,"The plant switching from leaf to flower, triggered by day length, by heat, or by a cold check early in life. It is the plant doing exactly what it evolved to do, at the moment you least want it.","A central stem shooting up fast, leaves becoming small, narrow and bitter, and then flower buds. In coriander it happens in a fortnight in hot weather.",The crop is over. Leaves turn bitter and tough within days and do not come back.,Nothing -- it is unmistakable once you know it. Aster yellows also distorts the top but yellows and twists rather than elongating cleanly.,Watch for the centre of a lettuce or a spinach starting to rise. Harvest that day.,"Sow at the right time for the crop -- most of these are spring and autumn crops and fail in midsummer whatever you do. Choose slow-bolt varieties, which for lettuce and coriander are genuinely different. Shade cloth in hot weather. Keep water even; drought stress brings it on. Do not check transplants with cold, which triggers bolting in brassicas and onions later.",Harvest immediately at the first sign. Let a coriander or a brassica bolt on purpose for the seed and for the beneficial insects that work the flowers -- that is one of the cheapest things a garden can do for its own aphid control.,None.,"The flowers feed hoverflies, parasitic wasps and lacewings, which is a good reason to leave one bolted plant standing.",0,"Right season, slow-bolt varieties, shade and even water; once it starts, pick it all today."
poor_pollination,Poor pollination,,Fruit abortion,disorder,Squash (summer);Squash (winter);Pumpkin;Cucumber;Melon;Watermelon;Sweet corn,manageable,Cucurbits carry separate male and female flowers and need an insect to move pollen between them; sweet corn is wind-pollinated and needs a block of plants rather than a row. Without enough pollen the fruit starts and then aborts.,"Small fruit that yellows at the blossom end, shrivels and drops when a few centimetres long. Misshapen, pinched cucumbers and melons. Corn ears with scattered bare patches where no kernel formed.","No crop from those flowers. Easily and often misdiagnosed as disease, and treated with sprays that make it worse by killing the pollinators.","Blossom end rot blackens the blossom end of a fruit that keeps growing. Pickleworm leaves frass. An aborting unpollinated fruit is clean, small and simply yellows.","Watch the flowers in the morning: are there bees in them? The first male flowers on a squash appear a week or more before the first female, and a run of female flowers with no males open is a common and self-correcting cause.","Plant sweet corn in a block of at least four short rows, never a single long one. Plant flowers that bring pollinators to the garden. Do not spray insecticides on open flowers, morning or otherwise. Avoid excess nitrogen, which delays female flowers.","Hand-pollinate: pick a male flower, strip the petals, and brush the anther against the stigma of a female flower in the morning. It works reliably and takes seconds. Shake sweet corn tassels over the silks on a still morning.","None, and any insecticide applied to open flowers actively causes this problem.",Bees of every kind -- this is the entry where the pollinator warnings on every other entry pay off.,0,Hand-pollinate in the morning; plant corn in a block; keep sprays off open flowers and grow flowers for the bees.
nutrient_deficiency,Nutrient deficiency,,Hunger signs,disorder,,manageable,"Not one problem but several, and the value of naming it is that it is what most pest sprays are wasted on. Which leaves go yellow first is the diagnosis: a mobile nutrient is moved out of old leaves to feed new ones, an immobile one is not.","Nitrogen: uniform pale yellowing of the OLDEST leaves first, whole plant pale and slow. Magnesium: yellowing between the veins of older leaves with the veins staying green. Iron: the same pattern but on the YOUNGEST leaves, and usually a pH problem rather than a shortage. Phosphorus: dull dark green with purple stems and undersides, and stunting, common in cold soil in spring.","Slow growth and a small crop. Rarely fatal, but months of a plant not doing what it should.",This is the one everything else is mistaken for. Spider mites stipple but have webbing; viruses mottle but distort the growing point; root problems wilt in the afternoon. Check the roots and the leaf undersides before feeding.,"Look at which leaves are affected before doing anything: oldest first means a mobile nutrient, youngest first means an immobile one or a pH problem. A soil test once every few years settles what guessing cannot.","A soil test, then compost and a balanced feed according to it. Get the pH into range -- most vegetables want 6.0 to 7.0, and outside that band nutrients that are present become unavailable, which is why iron chlorosis is usually a pH problem. Do not feed cold soil in spring and expect a response.","Compost, well-rotted manure and a balanced organic fertiliser. Foliar feeds give a quick short-lived response and are useful for diagnosis. Warmth solves most spring phosphorus symptoms without any input at all.",Soluble fertilisers work quickly and are easy to overdo; excess nitrogen makes soft growth that aphids and diseases prefer. Follow a soil test rather than a habit.,,0,Read which leaves are affected first; get a soil test and fix the pH; compost and a balanced feed -- not a spray.
herbicide_drift,Herbicide drift and contaminated compost,,Aminopyralid damage,disorder,,fatal,"Growth-regulator herbicides drifting from a neighbouring lawn or field, or -- more insidiously -- surviving through hay, straw, manure and compost. Aminopyralid and clopyralid pass through an animal and through composting intact and can persist for years in a bed.","Fern-like, cupped, twisted or strap-like new growth with parallel veins, on tomatoes, beans and potatoes first, which are the most sensitive. The plant is not spotted or mottled, just contorted. Everything in one part of the garden, or everything grown in one batch of compost.","Plants that never crop, and a bed that can stay affected for one to three years if the source was contaminated compost or manure. This is one of the most expensive mistakes available to a gardener.","Mosaic virus mottles as well as distorting, and moves plant by plant. Aster yellows yellows and produces green flowers. Herbicide damage affects everything in an area at once, in a direction, with no mottling.","If several unrelated plants distort at the same time, look at the pattern on the ground -- a gradient from one edge is drift, a whole bed is the compost.","Test any bought compost, manure or straw before spreading it: sow beans or peas in a pot of it against a pot of known clean mix and compare after three weeks. Ask what the hay or pasture was sprayed with. Do not spray herbicide on a windy day, and never use a sprayer that has held a herbicide for anything else -- there is no way to clean it well enough.","For the contaminated bed: nothing quick. Keep it cropped with grasses and sweet corn, which tolerate these herbicides, keep it moist and biologically active, and wait. Do not spread the material any further.",None. This IS the chemical.,,0,Bean-pot test any bought compost or manure before spreading it; grow corn and grasses on an affected bed and wait it out.
transplant_shock,Transplant shock,,,disorder,,manageable,"A plant moved from a sheltered tray to open ground loses more water through its leaves than damaged roots can replace, and is at the same time meeting full sun and wind for the first time. Both halves are avoidable.","Wilting for several days after planting, leaf edges scorched or bleached white, growth stalled for a fortnight, sometimes leaf drop. Worst on a bright windy day.","A checked plant that yields later and less, and sometimes never really catches up. Cold-checked brassicas and onions go on to bolt.",Cutworms sever the stem. Damping off pinches the stem base. Root maggots kill the roots. Look at the stem and the roots before assuming shock.,Watch new transplants morning and evening for the first week. Wilting at midday that recovers by evening is normal; wilting in the morning is not.,"Harden off over seven to ten days -- Carl records the schedule and counts the days for exactly this reason. Plant in the evening or on a dull day, never at midday in the sun. Water in thoroughly at planting to settle the soil around the roots. Do not tear the root ball apart. Shade for the first two or three days. Do not plant a heat-loving crop into cold soil.",Shade cloth or an upturned pot for the first days. Water in well and then keep the soil evenly moist rather than flooding it. Pinch off any flowers on a checked transplant so it puts its energy into roots.,Root stimulant products are mostly dilute fertiliser and do not fix a hardening failure.,,0,"Harden off properly, plant in the evening, water in, shade for a few days; pinch off early flowers."
frost_damage,Frost and freeze damage,,,disorder,,fatal,Ice forming in plant tissue ruptures the cells. Tender crops are killed at the first touch of frost; hardy ones are unaffected and some are improved by it.,"Leaves water-soaked and limp, then blackened and papery within a day or two. Growing tips killed first. On fruit, sunken glassy patches. Damage is worst in low spots and in the open, and least under a tree or a wall.","Total loss of tender crops -- tomato, pepper, basil, squash, bean. Hardy crops such as kale, leek and parsnip are unharmed and taste better afterwards.","Herbicide drift and disease can also blacken growth, but frost affects everything tender in an area on one night and leaves the hardy plants beside them untouched.","Carl carries the forecast on the menu and the frost reminder is one of the thirteen kinds; the average last and first frost dates for your county are on the Calendar. A clear, still, dry night after a cold day is the dangerous one.","Plant tender crops after the last frost date for your county and get them out before the first. Row cover or an old sheet over the crop on a forecast frost night, held off the leaves and reaching the ground so it traps soil heat -- plastic touching a leaf makes it worse. Water the soil in the afternoon before a frost, which holds heat. Avoid low-lying frost pockets for tender crops.","Cover, harvest, or accept it. Do not cut back frost-damaged perennials until spring, since the dead growth protects the crown.",None.,,0,Cover with fabric down to the ground on a forecast frost; water the soil beforehand; pick everything tender first.
heat_stress,Heat stress,,,disorder,,manageable,"Above about 35C most vegetables stop photosynthesising efficiently, close their pores to save water, and stop growing. What looks like a watering problem is often a temperature problem that no amount of water will fix.","Wilting in the afternoon that recovers by evening even in moist soil. Leaves cupping or rolling upward to reduce the surface facing the sun. Flowers dropping. Lettuce turning bitter, tomatoes not setting.","A pause in growth and cropping through the worst weeks. Rarely fatal to an established plant, and it resumes when the weather breaks.","Wilting that does NOT recover overnight is a root problem or a wilt disease, not heat. Physiological leaf roll is smooth and green; virus leaf curl yellows and stunts.",Carl records the temperatures and the ET0; a run of days above 35C explains most of what looks wrong in July.,"30 to 50 per cent shade cloth over the worst weeks, which is the single most effective intervention. Heavy mulch to keep soil temperature down. Deep, less frequent watering so roots go down. Heat-tolerant varieties for the crops that matter. Plan the calendar around the heat rather than fighting it.","Shade, mulch, deep watering and patience. Do not fertilise a heat-stressed plant, which asks it to grow when it cannot.",Anti-transpirant sprays have limited and inconsistent effect. Shade cloth does more for less.,,0,"Shade cloth, deep mulch and deep watering; do not feed it; wait for the nights to cool."
overwatering,Waterlogging and root rot,,Overwatering,disorder,,fatal,"Roots need air. Soil that stays saturated has none, the roots suffocate and die, and the water moulds move into the dead tissue. It is easily mistaken for underwatering, and treated by watering more.","Yellowing lower leaves and wilting in soil that is plainly wet. Soft brown mushy roots instead of firm white ones. A sour smell from the soil. Algae or moss on the surface, and fungus gnats in a container.","The plant dies, and the diagnosis is usually wrong until it is too late. This is the commonest way a container-grown vegetable is killed.","Drought wilts in dry soil; this wilts in wet soil, which is the whole distinction. Fusarium and Verticillium wilt stain the stem interior; waterlogging does not.","Put a finger in the soil to the second knuckle before watering anything. That is the test, and it is better than any schedule.","Check the soil before watering rather than watering on a timetable. Drainage holes in every container, and never a saucer left standing full. Raised beds or ridges on heavy clay. Add organic matter, which improves drainage in clay and retention in sand. Water deeply and less often.","Stop watering and let the soil dry. Improve drainage. Repot a container plant into fresh mix, trimming off the rotted roots. Carl records the watering and the rainfall -- read them together before deciding a plant is thirsty.","Fungicidal drenches for root rot do not fix drainage, and drainage is the problem.",,0,Feel the soil before watering; fix the drainage; let it dry out; trim rotted roots and repot a container.
tipburn,Tipburn,,,disorder,Lettuce;Cabbage;Chinese cabbage;Asian greens;Spinach;Strawberry,manageable,"The same calcium-transport failure as blossom end rot, in a leaf instead of a fruit. Fast growth in warm weather outruns the plant ability to move calcium to the leaf margins, which are the last place it reaches.","Brown, dry, scorched margins on the youngest inner leaves of a lettuce or a cabbage head -- inner, which is what distinguishes it. Bacterial rots move into the dead tissue afterwards.",The head is unusable if the damage is inside it. Mostly a warm-weather and fast-growth problem.,Salt or fertiliser burn scorches the OLDEST outer leaves. Tipburn is on the youngest inner ones.,"Cut a sample head in warm weather rather than waiting for harvest, since the damage is inside.","Even watering; the swings are what cause it. Avoid heavy nitrogen, which forces the growth that outruns the calcium. Choose tipburn-tolerant varieties. Grow the crop in its proper season and harvest before a heat wave. Shade cloth in warm weather.","Even watering, moderate feeding, right season, prompt harvest.",Calcium sprays are usually ineffective for the same reason as with blossom end rot: the calcium does not reach the tissue that needs it. Even water does more.,,0,"Even watering, moderate nitrogen, tolerant varieties, harvest before the heat."
deer,Deer,Odocoileus spp.,,pest,,fatal,"The largest thing that eats a garden, and the one where every half-measure fails. A deer will clear a bed of beans, lettuce and young fruit trees in a night and come back the next.","Plants browsed off at 60 to 180 cm with a ragged, torn end -- deer have no upper front teeth and tear rather than cut. Cloven hoof prints. Piles of pellet droppings. Rubbed and stripped bark on young trees in autumn.","Whole crops removed overnight, repeatedly, and young trees killed by rubbing. Deer also learn a route and return to it.",Rabbits cut cleanly at a 45-degree angle and only below about 60 cm. A ragged tear above knee height is a deer.,"Look for the tear rather than the missing plant, and look at the height. Tracks in soft ground after rain tell you where they come in.","A fence is the only reliable answer. Two metres, or two shorter fences a metre apart, since deer jump high or wide but not both. Electric fencing baited with peanut butter works well for a garden. Everything else buys time.","Repellents based on putrescent egg solids or capsaicin work for a few weeks and must be rotated and reapplied after rain, because deer habituate to any one of them. Motion-activated sprinklers are genuinely effective on a small garden. Netting or cages over individual beds. A dog.",Repellents only; there is no chemical control and none would be legal or appropriate.,,0,"Fence properly, or accept the loss. Rotate repellents and use motion sprinklers as a stopgap."
rabbit,Rabbits,Sylvilagus spp.,Cottontail,pest,,serious,"Rabbits eat seedlings, beans, lettuce, brassicas and peas, working from the edges of a bed, and gnaw bark from young trees in winter.","Stems cut cleanly at a sharp 45-degree angle, as if with secateurs, below about 60 cm. Round pellet droppings. Bark gnawed off young trunks in a neat band at snow height.","Rows of seedlings removed and young trees girdled and killed. Damage is concentrated near cover -- brush piles, long grass, sheds.",Deer tear rather than cut and reach much higher. Voles gnaw bark at or below ground level with fine parallel tooth marks.,"Look at the cut angle and the height, which settles rabbit against deer immediately.","A metre of chicken wire with 25 mm mesh, buried or pinned 15 cm into the soil at the base and turned outward, is close to complete and permanent control. Hardware cloth cylinders around young tree trunks. Remove brush piles and cut long grass near the beds so there is no cover to run to.",Fencing is the answer and everything else is a delay. Repellents work briefly. Row cover protects seedlings through the vulnerable weeks.,Repellents only.,"Hawks, owls, foxes and snakes -- all of which want the cover kept short too.",0,Chicken wire a metre high with the base turned out into the soil; wire cylinders on young trunks; remove the cover.
vole,Voles,Microtus spp.,Meadow mouse,pest,,serious,"Small rodents that live in runways under mulch, long grass and snow, eating roots, tubers and bark. They are almost never seen, and the damage appears all at once when a plant is lifted or when the snow melts.","Surface runways about 5 cm wide in grass and under mulch, with small round holes. Bark gnawed from trunks at ground level with fine irregular tooth marks running in all directions. Potatoes and root crops hollowed out. Whole plants that pull up with no roots.","Fruit trees girdled and killed over one winter, and root crops destroyed. The damage is often discovered months after it happened.","Mole tunnels are raised ridges and moles eat insects, not roots -- a mole in a garden is usually eating grubs. Rabbit bark damage is a clean band with larger tooth marks.",Pull mulch back in a few places in late autumn and look for runways. Check the base of young trees when the snow goes.,"Keep mulch pulled back 15 to 30 cm from the trunks of trees and shrubs, which is the single most effective measure. Mow and keep grass short around the garden. Hardware cloth cylinders around young trunks, pushed into the soil. Clear weedy cover in autumn before they move in.","Habitat: short grass, mulch off the trunks, no long weedy edges. Snap traps set in the runways under a cover work well in a garden. Encourage owls and hawks with a perch.","Rodenticide baits are available and are hazardous to pets, children and predatory birds; habitat management and traps are the better answer in a garden.","Owls, hawks, foxes, snakes, cats.",0,"Mulch pulled back off trunks, short grass, wire cylinders on young trees; snap traps in the runways."
squirrel_bird,Squirrels and birds,Sciurus spp.; various,,pest,Tomato;Strawberry;Sweet corn;Pepper;Melon;Watermelon;Bean;Lettuce,manageable,"Squirrels take one bite from a tomato and leave it, dig up transplants and strip sweet corn. Birds peck ripening fruit and pull up newly sown seed and seedlings.","A single bite out of each ripening tomato, and the rest left on the ground. Corn husks pulled back and kernels eaten. Neat holes pecked in ripe fruit. Freshly sown rows dug or pulled up.","Ripe fruit lost one at a time, sowings pulled up, and the corn crop taken in the week it was ready. Maddening rather than fatal, and very hard to stop by half measures.",Rats also take fruit but usually at night and gnaw more thoroughly. Slug damage has slime.,Watch what happens the week fruit starts colouring; that is when it starts.,"Netting or a fruit cage is the only thing that reliably works. Bird netting over a strawberry bed, held clear of the fruit on hoops so nothing can reach through and nothing gets tangled in it. Paper bags or mesh sleeves over ripening corn ears. Row cover over newly sown rows until they are up. Pick at first blush and ripen indoors.","Netting, sleeves and early picking. A shallow water source elsewhere in a dry spell genuinely reduces fruit pecking, because much of it is thirst. Reflective tape and scarers work for about a week each and then stop.",None appropriate. Repellents do not last on fruit you intend to eat.,"The same birds eat a great many caterpillars; the goal is to keep them off the fruit, not out of the garden.",0,Net properly and hold it clear of the fruit; sleeve the corn ears; pick at first blush; put out water in a dry spell.
